Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An ECC-based lightweight remote user authentication and key management scheme for IoT communication in context of fog computing","Computing","","104","6","10.1007/s00607-022-01055-8","Uddalak ChatterjeeSangram RayMuhammad Khurram KhanMou DasguptaChien-Ming Chen","2022","http://link.springer.com/article/10.1007/s00607-022-01055-8","Article"
"Edge Computing Based Applications in Vehicular Environments: Comparative Study and Main Issues","Journal of Computer Science and Technology","","34","4","10.1007/s11390-019-1947-3","Leo MendiboureMohamed-Aymen ChaloufFrancine Krief","2019","http://link.springer.com/article/10.1007/s11390-019-1947-3","Article"
"Edge computing: current trends, research challenges and future directions","Computing","","103","5","10.1007/s00607-020-00896-5","Gonçalo CarvalhoBruno CabralVasco PereiraJorge Bernardino","2021","http://link.springer.com/article/10.1007/s00607-020-00896-5","Article"
"Analytic Study of Containerizing Stateful Stream Processing as Microservice to Support Digital Twins in Fog Computing","Programming and Computer Software","","46","8","10.1134/S0361768820080083","Ameer B. A. AlaasamG. RadchenkoA. TchernykhJ. L. González Compeán","2020","http://link.springer.com/article/10.1134/S0361768820080083","Article"
"Reliable federated learning in a cloud-fog-IoT environment","The Journal of Supercomputing","","","","10.1007/s11227-023-05252-w","Mradula SharmaParmeet Kaur","2023","http://link.springer.com/article/10.1007/s11227-023-05252-w","Article"
"A systematic study of load balancing approaches in the fog computing environment","The Journal of Supercomputing","","77","8","10.1007/s11227-020-03600-8","Mandeep KaurRajni Aron","2021","http://link.springer.com/article/10.1007/s11227-020-03600-8","Article"
"Distributed Data Platform for Machine Learning Using the Fog Computing Model","SN Computer Science","","1","3","10.1007/s42979-020-00171-6","Takeshi TsuchiyaRyuichi MochizukiHiroo HiroseTetsuyasu YamadaKeiichi KoyanagiQuang Minh Tran","2020","http://link.springer.com/article/10.1007/s42979-020-00171-6","Article"
"Notions of architecture in fog computing","Computing","","103","1","10.1007/s00607-020-00848-z","Zoltán Ádám Mann","2021","http://link.springer.com/article/10.1007/s00607-020-00848-z","Article"
"A genetic-based approach for service placement in fog computing","The Journal of Supercomputing","","78","8","10.1007/s11227-021-04254-w","Nazanin SarrafzadeReza Entezari-MalekiLeonel Sousa","2022","http://link.springer.com/article/10.1007/s11227-021-04254-w","Article"
"Fog computing: from architecture to edge computing and big data processing","The Journal of Supercomputing","","75","4","10.1007/s11227-018-2701-2","Simar Preet SinghAnand NayyarRajesh KumarAnju Sharma","2019","http://link.springer.com/article/10.1007/s11227-018-2701-2","Article"
"An efficient framework for trust evaluation of secure service selection in fog computing based on QoS, reputation, and social criteria","Computing","","104","7","10.1007/s00607-022-01053-w","Mahboubeh AfzaliHamid PourmohammadiAmin Mohammad Vali Samani","2022","http://link.springer.com/article/10.1007/s00607-022-01053-w","Article"
"Situativer Datenschutz im Fog-Computing","Informatik Spektrum","","42","4","10.1007/s00287-019-01190-1","Zoltán Ádám MannAndreas MetzgerKlaus Pohl","2019","http://link.springer.com/article/10.1007/s00287-019-01190-1","Article"
"A queuing theory model for fog computing","The Journal of Supercomputing","","78","8","10.1007/s11227-022-04328-3","Lluís MasJordi VilaplanaJordi MateoFrancesc Solsona","2022","http://link.springer.com/article/10.1007/s11227-022-04328-3","Article"
"An analytical modelling and QoS evaluation of fault-tolerant load balancer and web servers in fog computing","The Journal of Supercomputing","","78","10","10.1007/s11227-022-04345-2","Mehmet AldağYönal KırsalSadık Ülker","2022","http://link.springer.com/article/10.1007/s11227-022-04345-2","Article"
"Transitions for Increased Flexibility in Fog Computing: A Case Study on Complex Event Processing","Informatik Spektrum","","42","4","10.1007/s00287-019-01191-0","Manisha LuthraBoris KoldehofeRalf Steinmetz","2019","http://link.springer.com/article/10.1007/s00287-019-01191-0","Article"
"A systematic survey of data mining and big data analysis in internet of things","The Journal of Supercomputing","","78","17","10.1007/s11227-022-04594-1","Yong ZhongLiang ChenChanglin DanAmin Rezaeipanah","2022","http://link.springer.com/article/10.1007/s11227-022-04594-1","Article"
"Containerized deployment of micro-services in fog devices: a reinforcement learning-based approach","The Journal of Supercomputing","","78","5","10.1007/s11227-021-04135-2","Shubha Brata NathSubhrendu ChattopadhyayRaja KarmakarSourav Kanti AddyaSandip ChakrabortySoumya K Ghosh","2022","http://link.springer.com/article/10.1007/s11227-021-04135-2","Article"
"Classification of resource management approaches in fog/edge paradigm and future research prospects: a systematic review","The Journal of Supercomputing","","78","11","10.1007/s11227-022-04338-1","Puneet KansalManoj KumarOm Prakash Verma","2022","http://link.springer.com/article/10.1007/s11227-022-04338-1","Article"
"Blockchain-based solutions for security, privacy, and trust management in vehicular networks: a survey","The Journal of Supercomputing","","77","9","10.1007/s11227-021-03659-x","Branka MikavicaAleksandra Kostić-Ljubisavljević","2021","http://link.springer.com/article/10.1007/s11227-021-03659-x","Article"
"An efficient gray system theory-based routing protocol for energy consumption management in the Internet of Things using fog and cloud computing","Computing","","104","6","10.1007/s00607-021-01048-z","Mohammad Reza AkbariHamid BaratiAli Barati","2022","http://link.springer.com/article/10.1007/s00607-021-01048-z","Article"
"Software-Defined Dew, Roof, Fog and Cloud (SD-DRFC) Framework for IoT Ecosystem: The Journey, Novel Framework Architecture, Simulation, and Use Cases","SN Computer Science","","2","3","10.1007/s42979-021-00521-y","Ishtiaq AhammadMd. Ashikur Rahman KhanZayed Us Salehin","2021","http://link.springer.com/article/10.1007/s42979-021-00521-y","Article"
"Dynamic urban evaluation routing protocol for enhanced vehicle ad hoc networks","The Journal of Supercomputing","","79","6","10.1007/s11227-022-04877-7","Zainab H. AliJohn F. ZakiNora El-Rashidy","2023","http://link.springer.com/article/10.1007/s11227-022-04877-7","Article"
"HBI-LB: A Dependable Fault-Tolerant Load Balancing Approach for Fog based Internet-of-Things Environment","The Journal of Supercomputing","","79","4","10.1007/s11227-022-04797-6","Richa VermaShalini Chandra","2023","http://link.springer.com/article/10.1007/s11227-022-04797-6","Article"
"Fog-based architecture for scheduling multiple workflows with high availability requirement","Computing","","104","1","10.1007/s00607-021-00905-1","Fatemeh DavamiSahar AdabiAli RezaeeAmir Masoud Rahmani","2022","http://link.springer.com/article/10.1007/s00607-021-00905-1","Article"
"Towards sustainable smart IoT applications architectural elements and design: opportunities, challenges, and open directions","The Journal of Supercomputing","","77","6","10.1007/s11227-020-03477-7","Zainab H. AliHesham A. Ali","2021","http://link.springer.com/article/10.1007/s11227-020-03477-7","Article"
"A verifiable privacy-preserving data collection scheme supporting multi-party computation in fog-based smart grid","Frontiers of Computer Science","","16","1","10.1007/s11704-021-0410-0","Zhusen LiuZhenfu CaoXiaolei DongXiaopeng ZhaoHaiyong BaoJiachen Shen","2021","http://link.springer.com/article/10.1007/s11704-021-0410-0","Article"
"A novel IoT–fog–cloud-based healthcare system for monitoring and predicting COVID-19 outspread","The Journal of Supercomputing","","78","2","10.1007/s11227-021-03935-w","Tariq Ahamed AhangerUsman TariqMuneer NusirAbdulaziz AldaejImdad UllahAbdullah Sulman","2022","http://link.springer.com/article/10.1007/s11227-021-03935-w","Article"
"Fog-Cloud-IoT centric collaborative framework for machine learning-based situation-aware traffic management in urban spaces","Computing","","","","10.1007/s00607-022-01120-2","SahilSandeep Kumar SoodVictor Chang","2022","http://link.springer.com/article/10.1007/s00607-022-01120-2","Article"
"Cyber-physical systems for structural health monitoring: sensing technologies and intelligent computing","The Journal of Supercomputing","","78","1","10.1007/s11227-021-03875-5","Wael DoghriAhlem SaddoudLamia Chaari Fourati","2022","http://link.springer.com/article/10.1007/s11227-021-03875-5","Article"
"Research on a Communication Platform Coordinating Web Services and Smart Speakers on the Application Layer","SN Computer Science","","2","4","10.1007/s42979-021-00696-4","Takeshi TsuchiyaRyuichi MochizukiHiroo HiroseTetsuyasu YamadaNorinobu ImamuraNaoki YokouchiQuang Tran Minh","2021","http://link.springer.com/article/10.1007/s42979-021-00696-4","Article"
"Emergent models, frameworks, and hardware technologies for Big data analytics","The Journal of Supercomputing","","76","3","10.1007/s11227-018-2277-x","Sven Groppe","2020","http://link.springer.com/article/10.1007/s11227-018-2277-x","Article"
"MAA: multi-objective artificial algae algorithm for workflow scheduling in heterogeneous fog-cloud environment","The Journal of Supercomputing","","79","10","10.1007/s11227-023-05110-9","Prashant ShuklaSudhakar Pandey","2023","http://link.springer.com/article/10.1007/s11227-023-05110-9","Article"
"Multi-modal secure healthcare data dissemination framework using blockchain in IoMT","Personal and Ubiquitous Computing","","","","10.1007/s00779-021-01527-2","Rajakumar ArulYasser D. Al-OtaibiWaleed S. AlnumayUsman TariqUmar ShoaibM. D. Jalil Piran","2021","http://link.springer.com/article/10.1007/s00779-021-01527-2","Article"
"Containerization technologies: taxonomies, applications and challenges","The Journal of Supercomputing","","78","1","10.1007/s11227-021-03914-1","Ouafa BentalebAdam S. Z. BelloumAbderrazak SebaaAouaouche El-Maouhab","2022","http://link.springer.com/article/10.1007/s11227-021-03914-1","Article"
"A Reference Architecture for IoT-Enabled Smart Buildings","SN Computer Science","","3","6","10.1007/s42979-022-01401-9","Muhammad Rizwan BashirAsif Qumer GillGhassan Beydoun","2022","http://link.springer.com/article/10.1007/s42979-022-01401-9","Article"
"Classical and quantum compression for edge computing: the ubiquitous data dimensionality reduction","Computing","","105","7","10.1007/s00607-023-01154-0","Maryam BagherianSarah ChehadeBen WhitneyAli Passian","2023","http://link.springer.com/article/10.1007/s00607-023-01154-0","Article"
"A mobile edge computing-based applications execution framework for Internet of Vehicles","Frontiers of Computer Science","","16","5","10.1007/s11704-021-0425-6","Libing WuRui ZhangQingan LiChao MaXiaochuan Shi","2022","http://link.springer.com/article/10.1007/s11704-021-0425-6","Article"
"Enabling distributed intelligence for the Internet of Things with IOTA and mobile agents","Computing","","102","6","10.1007/s00607-020-00806-9","Tariq AlsbouiYongrui QinRichard HillHussain Al-Aqrabi","2020","http://link.springer.com/article/10.1007/s00607-020-00806-9","Article"
"Composition of caching and classification in edge computing based on quality optimization for SDN-based IoT healthcare solutions","The Journal of Supercomputing","","","","10.1007/s11227-023-05332-x","Seyedeh Shabnam JazaeriParvaneh AsghariSam JabbehdariHamid Haj Seyyed Javadi","2023","http://link.springer.com/article/10.1007/s11227-023-05332-x","Article"
"TFAS: two factor authentication scheme for blockchain enabled IoMT using PUF and fuzzy extractor","The Journal of Supercomputing","","","","10.1007/s11227-023-05507-6","Namrata SinghAyan Kumar Das","2023","http://link.springer.com/article/10.1007/s11227-023-05507-6","Article"
"An overview of data reduction solutions at the edge of IoT systems: a systematic mapping of the literature","Computing","","104","8","10.1007/s00607-022-01073-6","Laércio PioliCarina F. DornelesDouglas D. J. de MacedoMario A. R. Dantas","2022","http://link.springer.com/article/10.1007/s00607-022-01073-6","Article"
"Highly efficient key agreement for remote patient monitoring in MEC-enabled 5G networks","The Journal of Supercomputing","","77","6","10.1007/s11227-020-03472-y","An BraekenMadhusanka Liyanage","2021","http://link.springer.com/article/10.1007/s11227-020-03472-y","Article"
"Privacy and security federated reference architecture for Internet of Things","Frontiers of Information Technology & Electronic Engineering","","24","4","10.1631/FITEE.2200368","Musab KamalImran RashidWaseem IqbalMuhammad Haroon SiddiquiSohaib KhanIjaz Ahmad","2023","http://link.springer.com/article/10.1631/FITEE.2200368","Article"
"Edge computing","Computing","","104","12","10.1007/s00607-022-01104-2","Jorge PérezJessica DíazJavier BerrocalRamón López-VianaÁngel González-Prieto","2022","http://link.springer.com/article/10.1007/s00607-022-01104-2","Article"
"Internet of Things (IoT) in Pharmaceutical Manufacturing, Warehousing, and Supply Chain Management","SN Computer Science","","1","4","10.1007/s42979-020-00248-2","Apoorva SharmaJaswinder KaurInderbir Singh","2020","http://link.springer.com/article/10.1007/s42979-020-00248-2","Article"
"Edge-based personal computing services: fall detection as a pilot study","Computing","","101","8","10.1007/s00607-018-00697-x","Lingmei RenQingyang ZhangWeisong ShiYanjun Peng","2019","http://link.springer.com/article/10.1007/s00607-018-00697-x","Article"
"Quality and Security Frameworks for IoT-Architecture Models Evaluation","SN Computer Science","","4","4","10.1007/s42979-023-01815-z","Darine AmeyedFehmi JaafarFabio PetrilloMohamed Cheriet","2023","http://link.springer.com/article/10.1007/s42979-023-01815-z","Article"
