"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cost-Performance Trade-Offs in Fog Computing for IoT Data Processing of Social Virtual Reality","S. Wang; S. Valluripally; R. Mitra; S. S. Nuguri; K. Salah; P. Calyam","University of Missouri; University of Missouri; University of Missouri; University of Missouri; Khalifa University of Science, Technology and Research; University of Missouri","2019 IEEE International Conference on Fog Computing (ICFC)","2 Sep 2019","2019","","","134","143","Virtual Reality (VR)-based Learning Environments (VRLEs) are gaining popularity due to the wide availability of cloud and its edge (a.k.a. fog) technologies and high-speed networks. Thus, there is a need to investigate Internet-of-Things (IoT)-based application design concepts within social VRLEs to offer scalable, cost-efficient services that adapt to dynamic cloud/fog system conditions. In this paper, we investigate the cost-performance trade-offs for an IoT-based application that integrates large-scale sensor data from Social VRLEs and coordinates the real-time data processing and visualization across cloud/fog platforms. To facilitate dynamic performance adaptation of the IoT-based application with increased user scale, we present a set of cost-aware adaptive control rules. The implementation of the rules is based on an analytical queuing model that determines the performance states of the IoT-based application, given the current workload and the allocated cloud/fog resources. Using the IoT-based application in an exemplar VRLE use case, we evaluate the cost-performance trade-offs with three system architectures i.e., cloud-only, edge-only and edge-cloud architectures. Experiment results illustrate the best/worst practices in the cost-performance trade-offs for a range of simulated IoT scenarios involving monitoring user emotional data collected by using brain sensors. Our results also detail the impact of the system architecture selection, and the benefits in enabling feedback about student emotions to instructors during Social VR learning sessions. Lastly, we show the benefits of integrating our model-based feedback control in maximizing IoT-based application performance while keeping the associated costs at a minimum level.","","978-1-7281-3236-5","10.1109/ICFC.2019.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8821977","IoT-based-Application,-Cloud/Fog-System-Architecture,-Model-based-Resource-Management,-IoT-Data-Processing/-Visualization,-Social-Virtual-Reality","Cloud computing;Data visualization;Quality of experience;Systems architecture;Real-time systems;Electroencephalography;Quality of service","cloud computing;computer aided instruction;feedback;human computer interaction;Internet of Things;queueing theory;resource allocation;virtual reality","cost-performance trade-offs;IoT data processing;social VRLEs;cost-aware adaptive control rules;edge-cloud architectures;model-based feedback control;social virtual reality;large-scale sensor data;data visualization;virtual reality-based learning environments;Internet-of-Things-based application design;fog computing;user emotional data;brain sensors;system architecture selection;student emotions;model-based resource management;analytical queuing model","","4","","18","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"IoT Data Processing in the Fog: Functions, Streams, or Batch Processing?","T. Pfandzelter; D. Bermbach","Mobile Cloud Computing Research Group, TU Berlin & Einstein Center Digital Future; Mobile Cloud Computing Research Group, TU Berlin & Einstein Center Digital Future","2019 IEEE International Conference on Fog Computing (ICFC)","2 Sep 2019","2019","","","201","206","When processing IoT data on a large scale, the cloud is no longer sufficient and it has been proposed to move parts of the computation closer to the IoT devices - the so-called fog computing. There are also three basic processing paradigms today that lend themselves to IoT data processing: stream and batch processing as well as serverless functions. Where to place which part of the data processing and which processing paradigm to choose, however, is often unclear. In this paper, we give an overview of all three paradigms as well as different data processing use-cases. We use these to derive a decision framework which provides general guidelines for placement of processing and the respectively suitable paradigm when designing a large-scale IoT data processing architecture.","","978-1-7281-3236-5","10.1109/ICFC.2019.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8822056","IoT;Fog Computing;Edge Computing;Cloud Computing;Data Analytics;Event Processing","Cloud computing;Batch production systems;Edge computing;Computer architecture;Data analysis;Program processors","batch processing (computers);cloud computing;data analysis;Internet of Things","IoT data processing;IoT devices;fog computing;batch processing;stream processing;serverless functions;decision framework;cloud computing","","24","","39","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"Secure Distributed Data Management for Fog Computing in Large-Scale IoT Application: A Blockchain-Based Solution","Z. Chen; H. Cui; E. Wu; Y. Li; Y. Xi","State Key Lab. of Networking and Switching Technology, Beijing University of Posts and Telecommunications, China; State Key Lab. of Networking and Switching Technology, Beijing University of Posts and Telecommunications, China; State Key Lab. of Networking and Switching Technology, Beijing University of Posts and Telecommunications, China; State Key Lab. of Networking and Switching Technology, Beijing University of Posts and Telecommunications, China; State Key Lab. of Networking and Switching Technology, Beijing University of Posts and Telecommunications, China","2020 IEEE International Conference on Communications Workshops (ICC Workshops)","21 Jul 2020","2020","","","1","6","Fog computing, a novel computing paradigm, migrates cloud computing to the edge of network and consequently decrease the overhead of process and movement of the large-scale big data. Fog computing is promising to lower communication delay and offload network traffic with the scale of big data increasing in large-scale IoT application, which brings micro-data centers to the network edge, enabling the network edge to perceive, process, storage and calculate the massive data, reducing the amount of transferred data. However, numerous fog nodes at the network edge face an external attack resulting in serious security threats arising from the trusting relationship vulnerability because of the lack of the consideration of the properties of the fog computing system. This paper addresses the design for developing secure distributed data management platform for fog computing in large-scale IoT application, along with a blockchain-based data management implementation of the platform, which approaches the major challenges: how to realize the integration of data security and storage management for fog computing in large-scale IoT application and enrich rational interoperability for interconnected things. Experimental results show that the system works well to empower data provenance and transparency and defend against unauthorized access effectively in fog computing, scales well with loss of the performance of communication and computing maintaining in acceptable range, verifying the efficiency and feasibility of our design to provide privacy, integrity and fine-grained data management for fog computing in large-scale IoT application by introducing the data management platform based upon the blockchain network and smart contracts therein.","2474-9133","978-1-7281-7440-2","10.1109/ICCWorkshops49005.2020.9145381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9145381","Secure Data Management;Blockchain;IoT Application;Fog Computing","Distributed databases;Edge computing;Authorization;Authentication","Big Data;cloud computing;cryptography;data integrity;data privacy;distributed databases;Internet of Things;storage management","large-scale IoT application;large-scale big data;fog computing system;secure distributed data management platform;blockchain-based data management implementation;data security;fine-grained data management;cloud computing;microdata centers;security threats;storage management;data provenance;privacy;smart contracts","","4","","15","IEEE","21 Jul 2020","","","IEEE","IEEE Conferences"
"A Review On Relationship Between Iot– Cloud Computing – Fog Computing (Applications And Challenges)","M. E. Idrissi; O. Elbeqqali; J. RIFfi","Computer Science, Imagery and Numerical Analysis Labratory, Sidi Mohamed Ben Abdellah university, Fez, Morocco; Computer Science, Imagery and Numerical Analysis Labratory, Sidi Mohamed Ben Abdellah university, Fez, Morocco; Computer Science, Imagery and Numerical Analysis Labratory, Sidi Mohamed Ben Abdellah university, Fez, Morocco","2019 Third International Conference on Intelligent Computing in Data Sciences (ICDS)","27 Dec 2019","2019","","","1","7","Many vital domains such as smart building, smart cities, healthcare, agriculture, and environment monitoring, take benefits from IoT (Internet of Things) technology emergence. Recently, the amount of IoT generated data becomes huge, creating many research challenges in data management topic, in another side, transmission of these amounts of data requires large bandwidth, and generate significant delay. From this vision, we prepare this paper to help new searchers interested in IoT data management topic, to find out a good starting point. For this reason, we shed light on IoT technology, and show its relationship with big data evolution scene, then show the importance of the new paradigm known as fog computing to overcome most of these problems. At first, we introduce the five elements of an IoT object and common communication models used by smart objects, then we discuss comparison of hardware IoT platforms, and recommendations to take into consideration while choosing a hardware IoT platform, in the next pages we introduce cloud IoT infrastructures, followed by a presentation of fog computing advantages and challenges.","","978-1-7281-0003-6","10.1109/ICDS47004.2019.8942304","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8942304","Radio Frequency Identification;Internet of things;BigData;Cloud computing;Fog computing","Internet of Things;Cloud computing;Hardware;Sensors;Pins;Bluetooth;Microcontrollers","Big Data;cloud computing;Internet of Things","Internet of Things;IoT data management;IoT technology;Big Data;smart objects;hardware IoT platform;cloud IoT;cloud computing;fog computing;IoT object;communication models","","6","","27","IEEE","27 Dec 2019","","","IEEE","IEEE Conferences"
"KFIML: Kubernetes-Based Fog Computing IoT Platform for Online Machine Learning","Z. Wan; Z. Zhang; R. Yin; G. Yu","College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information and Electrical Engineering, Zhejiang University City College, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China","IEEE Internet of Things Journal","22 Sep 2022","2022","9","19","19463","19476","The massive onsite data produced by the Internet of Things (IoT) can bring valuable information and immense potentials, thus empowering a new wave of emerging applications. However, with the rapid increase of onsite IoT data streams, it has become extremely challenging to develop a scalable computing platform and provide a comprehensive workflow for processing IoT data streams with lower latency and more intelligence. To this end, we present a Kubernetes-based scalable fog computing platform (KFIML), integrating big data streaming processing with machine learning (ML)-based applications. We also provide a comprehensive IoT data processing workflow, including data access and transfer, big data processing, online ML, long-term storage, and monitoring. The platform is feasibly validated on a clustered testbed, which comprises a master node, IoT broker servers, worker nodes, and a local database server. By leveraging the lightweight orchestration system, namely Kubernetes, we can readily scale and manage containerized software frameworks on our testbed. The big data processing layer utilizes the advanced data flow frameworks such as Apache Flink, to support both streaming processing and statistical analysis with low latency. In addition, the specified long short-term memory (LSTM)-based ML pipelines are employed on the online ML layer, to enable the real-time predictive analysis of IoT data streams. The experiments on a real-world smart grid use case demonstrate that the container-based KFIML platform can be well-scaled with Kubernetes to efficiently perform big data processing increased onsite IoT data streams with lower latency and conduct ML-based applications.","2327-4662","","10.1109/JIOT.2022.3168085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9758947","Big data processing;fog computing;Internet of Things (IoT);Kubernetes;online machine learning (ML);predictive analysis","Internet of Things;Big Data;Edge computing;Real-time systems;Distributed databases;Sparks;Computer architecture","Big Data;Internet of Things;learning (artificial intelligence);smart power grids;statistical analysis","iot platform;online machine learning;massive onsite data;onsite IoT data streams;scalable computing platform;processing IoT data streams;Kubernetes-based scalable fog computing platform;machine learning-based applications;comprehensive IoT data processing workflow;data access;IoT broker servers;big data processing layer;advanced data flow frameworks;streaming processing;short-term memory-based ML pipelines;online ML layer;container-based KFIML;ML-based applications","","5","","39","IEEE","18 Apr 2022","","","IEEE","IEEE Journals"
"Data Management Portfolio for Improvement of Privacy in Fog-to-cloud Computing Systems","P. Chertchom; S. Tanimoto; T. Konosu; M. Iwashita; T. Kobayashi; H. Sato; A. Kanai","Faculty of Information Technology, Thai-Nichi Institute of Technology, Bangkok, Thailand; Faculty of Social Systems Science, Chiba Institute of Technology, Chiba, Japan; Faculty of Social Systems Science, Chiba Institute of Technology, Chiba, Japan; Faculty of Social Systems Science, Chiba Institute of Technology, Chiba, Japan; School of Engineering, Nagasaki University, Nagasaki, Japan; Information Technology Center, The University of Tokyo, Tokyo, Japan; Faculty of Science and Engineering, Hosei University, Tokyo, Japan","2019 8th International Congress on Advanced Applied Informatics (IIAI-AAI)","13 Feb 2020","2019","","","884","889","With the challenge of the vast amount of data generated by devices at the edge of networks, new architecture needs a well-established data service model that accounts for privacy concerns. This paper presents an architecture of data transmission and a data portfolio with privacy for fog-to-cloud (DPPforF2C). We would like to propose a practical data model with privacy from a digitalized information perspective at fog nodes. In addition, we also propose an architecture for implicating the privacy of DPPforF2C used in fog computing. Technically, we design a data portfolio based on the Message Queuing Telemetry Transport (MQTT) and the Advanced Message Queuing Protocol (AMQP). We aim to propose sample data models with privacy architecture because there are some differences in the data obtained from IoT devices and sensors. Thus, we propose an architecture with the privacy of DPPforF2C for publishing data from edge devices to fog and to cloud servers that could be applied to fog architecture in the future.","","978-1-7281-2627-2","10.1109/IIAI-AAI.2019.00179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8992759","Fog Architecture;Data Privacy for Fog-to-Cloud (DPPforF2C);Cloud Computing;IoT;Fog Computing;Data Management;Data Portfolio;Data Privacy","","cloud computing;data models;data privacy;Internet of Things;middleware;protocols;queueing theory;telemetry","data management portfolio;fog-to-cloud computing systems;data service model;privacy concerns;data transmission;data portfolio;DPPforF2C;practical data model;fog nodes;fog computing;Message Queuing Telemetry Transport;Advanced Message Queuing Protocol;sample data models;privacy architecture;edge devices;fog architecture","","4","","21","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"Data Aggregation Challenges in Fog Computing","M. Shahzad; J. Panneerselvam; L. Liu; X. Zhai","School of Electronics, Computing and Mathematics University of Derby, UK; School of Electronics, Computing and Mathematics University of Derby, UK; Department of Informatics, Univversity of Leicester, UK; School of Computer Science and Electronic Engineering, Univversity of Essex, UK","2019 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","9 Apr 2020","2019","","","1717","1721","Internet of Things (IoT) is on the raise and has become an integral part of our daily activities. Cloud Computing has been serving as an effective platform to IoT application that host data execution at the back-end server at the datacentres. The extent of IoT to mission critical delay intolerant applications require immediate responses from the providers. While the traditional Cloud infrastructure incurs unavoidable process delays, Fog Computing can effectively mitigate such delays to serve latency sensitive applications with reduced energy consumption. However, the success of the Fog architecture relies on effective data management both during transmission and execution. To this end, this paper discusses the advantages of Fog computing over Clouds in addressing energy and time constraints of IoT application, uncovers the challenges faced by data aggregation in Fog computing. An important contribution of this paper is the review on the data aggregation strategies and a recommended hybrid data aggregation scheme for Fog based IoT applications.","","978-1-7281-4034-6","10.1109/SmartWorld-UIC-ATC-SCALCOM-IOP-SCI.2019.00306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9060399","Internet of Things, Cloud Computing, Fog Computing, Data Aggregation","Cloud computing;Edge computing;Data aggregation;Servers;Delays;Bandwidth;Internet of Things","cloud computing;computer centres;delays;energy consumption;Internet of Things","fog computing;hybrid data;data aggregation strategies;effective data management;fog architecture;latency sensitive applications;cloud infrastructure;mission critical delay intolerant applications;host data execution;IoT application;cloud computing;data aggregation challenges","","2","","14","IEEE","9 Apr 2020","","","IEEE","IEEE Conferences"
"A Robust Security Framework based on Blockchain and SDN for Fog Computing enabled Agricultural Internet of Things","O. Friha; M. A. Ferrag; L. Shu; M. Nafa","Networks and Systems Laboratory (LRS), Badji Mokhtar-Annaba University, B.P.12, Annaba, Algeria; Department of Computer Science, Guelma University, B.P. 401, Algeria; College of Engineering, Nanjing Agricultural University, Nanjing, China; Networks and Systems Laboratory (LRS), Badji Mokhtar-Annaba University, B.P.12, Annaba, Algeria","2020 International Conference on Internet of Things and Intelligent Applications (ITIA)","16 Feb 2021","2020","","","1","5","In this paper, we propose a security architecture that integrates blockchain technology, fog computing, and software-defined networking for agricultural internet of things. The proposed security architecture is composed of three main parts: (a) an agricultural IoT data management system to provide real-time IoT data collection, analytic, visualization, and device management, (b) a blockchain-based integrity monitoring scheme to prevents erroneous delivery of controls and information, and (c) a virtual switch software to supports software-defined networking technologies to improve network management. Moreover, we test the proposed security architecture on an open-source IoT platform with combining Hyperledger Sawtooth blockchain and software-defined networking technologies under DDoS attacks. The performance evaluation results demonstrate the effectiveness of the proposed security architecture.","","978-1-7281-9301-4","10.1109/ITIA50152.2020.9312286","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9312286","Smart Farming;Internet of Things;Fog Computing;SDN;NFV;Blockchain","Blockchain;Internet of Things;Security;Switches;Cloud computing;Control systems;Computer architecture","agriculture;blockchains;computer network management;computer network security;Internet of Things;public domain software;software defined networking","virtual switch software;software-defined networking technologies;network management;security architecture;open-source IoT platform;Hyperledger Sawtooth blockchain;robust security framework;fog computing;agricultural Internet of Things;blockchain technology;agricultural IoT data management system;real-time IoT data collection;device management;blockchain-based integrity monitoring scheme;DDoS attacks","","3","","14","IEEE","16 Feb 2021","","","IEEE","IEEE Conferences"
"FOG Computing for Vineyard Applications","M. Hnatiuc; B. Hnatiuc; S. -R. Sintea","Electronics and Telecommunication Dept., Constanta Maritime University, Constanta, Romania; Electrical Engineering Systems Dept., Constanta Maritime University, Constanta, Romania; Electrical Engineering Systems Dept., Constanta Maritime University, Constanta, Romania","2022 E-Health and Bioengineering Conference (EHB)","2 Jan 2023","2022","","","1","4","In the new era of Internet Services development we have integrate vineyard application in Cloud Computing Information System. Our vineyard application is based on IoT Things that sends data to Cloud Server where we are using SaaS application for data management and analysis. To ensure data continuity and to minimize losing of data we are using FOG technology. We have implemented a FOG computer and install it on Cloud Border between vineyard local network and Internet. This computer will receive-store-push data from IoT Things to cloud server. This electronic document describes how we are implementing a FOG Computing for Vineyard Application. By implementing FOG server solution between IoT Things and IoT Cloud the data send from things are stored locally on FOG server and will be pushed to IoT Cloud Server. If Internet connection is broken the data are memorized locally and will be delivered to the IoT Cloud Server when Internet connection is restored. By using this solution we have minimized data lost between IoT Thing and IoT Server and we optimized transfer over Internet connection.","2575-5145","978-1-6654-8557-9","10.1109/EHB55594.2022.9991716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9991716","fog computing;SaaS;IoT","Cloud computing;Web and internet services;Random access memory;Extraterrestrial measurements;Time measurement;Servers;Internet of Things","cloud computing;data analysis;Internet;Internet of Things","Cloud Border;Cloud Computing Information System;data continuity;data management;FOG computer;FOG Computing;FOG server solution;FOG technology;Internet connection;Internet Services development;IoT Cloud Server;IoT Server;IoT Thing;receive-store-push data;SaaS application;vineyard application;Vineyard applications;vineyard local network","","","","9","IEEE","2 Jan 2023","","","IEEE","IEEE Conferences"
"Heterogeneous Fog Computing Implementation for Internet of Things Applications","P. Jenifer; J. Angela Jennifa Sujana; M. Sharon Nisha; B. Benita","AP/CSE, Francis Xavier Engineering College, Tirunelveli, Tamilnadu, India; AP/CSE, Francis Xavier Engineering College, Tirunelveli, Tamilnadu, India; AP/CSE, Francis Xavier Engineering College, Tirunelveli, Tamilnadu, India; AP/CSE, Francis Xavier Engineering College, Tirunelveli, Tamilnadu, India","2023 Third International Conference on Artificial Intelligence and Smart Energy (ICAIS)","27 Mar 2023","2023","","","1629","1633","IoT applications are a collection of interconnected services. Fog Computing is a decentralized platform for IoT data processing and resource distribution. It is crucial to provide Quality of Experience (QoE) when it comes to low delay and low power consumption. IoT service deployment in a Fog computing environment is challenging because of the heterogeneity of the Fog nodes. To fulfill the QoE constraint, they addressed the service provisioning issue in a multimodal fog computing environment and provided a meta-heuristic technique to effectively solve it.","","978-1-6654-6216-7","10.1109/ICAIS56108.2023.10073699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073699","Quality of Experience;Internet of Things;Fog computing;low latency;low energy","Power demand;Metaheuristics;Random access memory;Internet of Things;Quality of experience;Time factors;Security","computer network security;Internet of Things;quality of experience","decentralized platform;Fog nodes;heterogeneous Fog Computing implementation;interconnected services;IoT applications;IoT service deployment;low delay;low power consumption;multimodal fog computing environment;QoE constraint;resource distribution;service provisioning issue","","","","15","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
